system:index,0_Rain_jun-oct_2019,0_Temp_jun-oct_2019,1_Rain_may-sep_2019,1_Temp_may-sep_2019,2_Rain_jun-oct_2020,2_Temp_jun-oct_2020,3_Rain_may-sep_2020,3_Temp_may-sep_2020,Map,UNIQUE_ID,elevation,lat,lon,.geo
0,1157.1087646484375,28.733362197875977,916.2103881835938,29.935998916625977,1219.0753173828125,29.838464736938477,1219.461181640625,30.710840225219727,10.0,0.0,136.0,10.2,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.200000000000001]}"
1,1157.1087646484375,28.733362197875977,916.2103881835938,29.935998916625977,1219.0753173828125,29.838464736938477,1219.461181640625,30.710840225219727,40.0,1.0,140.0,10.220833333333333,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.220833333333333]}"
2,1176.1978759765625,28.733362197875977,932.9692993164062,29.935998916625977,1178.7918701171875,29.838464736938477,1179.4681396484375,30.710840225219727,40.0,2.0,153.0,10.241666666666665,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.241666666666667]}"
3,1176.1978759765625,28.733362197875977,932.9692993164062,29.935998916625977,1178.7918701171875,29.838464736938477,1179.4681396484375,30.710840225219727,40.0,3.0,151.0,10.2625,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.262500000000001]}"
4,1141.630126953125,28.733362197875977,925.5856323242188,29.935998916625977,1125.987548828125,29.838464736938477,1116.6241455078125,30.710840225219727,10.0,4.0,150.0,10.283333333333333,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.283333333333333]}"
5,1141.630126953125,29.416345596313477,925.5856323242188,30.65081214904785,1125.987548828125,30.121789932250977,1116.6241455078125,30.93364906311035,20.0,5.0,159.0,10.304166666666665,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.304166666666664]}"
6,1141.630126953125,29.416345596313477,925.5856323242188,30.65081214904785,1125.987548828125,30.121789932250977,1116.6241455078125,30.93364906311035,60.0,6.0,167.0,10.325,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.325000000000003]}"
7,1150.3306884765625,29.416345596313477,945.491943359375,30.65081214904785,1074.9822998046875,30.121789932250977,1070.317626953125,30.93364906311035,10.0,7.0,194.0,10.345833333333333,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.345833333333333]}"
8,1150.3306884765625,29.416345596313477,945.491943359375,30.65081214904785,1074.9822998046875,30.121789932250977,1070.317626953125,30.93364906311035,20.0,8.0,174.0,10.366666666666665,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.366666666666664]}"
9,1133.41796875,29.416345596313477,917.48046875,30.65081214904785,1039.4534912109375,30.121789932250977,1022.7445068359375,30.93364906311035,20.0,9.0,162.0,10.3875,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.387500000000001]}"
10,1133.41796875,29.416345596313477,917.48046875,30.65081214904785,1039.4534912109375,30.121789932250977,1022.7445068359375,30.93364906311035,40.0,10.0,168.0,10.408333333333333,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.408333333333333]}"
11,1133.41796875,29.416345596313477,917.48046875,30.65081214904785,1039.4534912109375,30.121789932250977,1022.7445068359375,30.93364906311035,40.0,11.0,168.0,10.429166666666665,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.429166666666665]}"
12,1133.41796875,29.416345596313477,917.48046875,30.65081214904785,1039.4534912109375,30.121789932250977,1022.7445068359375,30.93364906311035,10.0,12.0,178.0,10.45,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.45]}"
13,1133.41796875,29.416345596313477,917.48046875,30.65081214904785,1039.4534912109375,30.121789932250977,1022.7445068359375,30.93364906311035,40.0,13.0,165.0,10.470833333333333,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.470833333333331]}"
14,1091.4554443359375,29.416345596313477,887.1829223632812,30.65081214904785,1009.182373046875,30.121789932250977,993.106201171875,30.93364906311035,40.0,14.0,161.0,10.491666666666665,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.491666666666664]}"
15,1091.4554443359375,29.416345596313477,887.1829223632812,30.65081214904785,1009.182373046875,30.121789932250977,993.106201171875,30.93364906311035,40.0,15.0,168.0,10.5125,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.5125]}"
16,1024.2047119140625,29.416345596313477,841.791015625,30.65081214904785,963.2605590820312,30.121789932250977,934.8775634765625,30.93364906311035,40.0,16.0,163.0,10.533333333333333,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.533333333333331]}"
17,1024.2047119140625,29.416345596313477,841.791015625,30.65081214904785,963.2605590820312,30.121789932250977,934.8775634765625,30.93364906311035,60.0,17.0,156.0,10.554166666666665,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.554166666666665]}"
18,988.6067504882812,29.416345596313477,802.9447631835938,30.65081214904785,902.570068359375,30.121789932250977,884.0481567382812,30.93364906311035,20.0,18.0,159.0,10.575,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.575]}"
19,988.6067504882812,30.195947647094727,802.9447631835938,31.325525283813477,902.570068359375,30.877954483032227,884.0481567382812,31.827295303344727,40.0,19.0,146.0,10.595833333333333,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.595833333333331]}"
20,988.6067504882812,30.195947647094727,802.9447631835938,31.325525283813477,902.570068359375,30.877954483032227,884.0481567382812,31.827295303344727,20.0,20.0,139.0,10.616666666666665,78.5,"{""type"":""Point"",""coordinates"":[78.5,10.616666666666665]}"
